,datetime,00060_Mean,site_no
28796,1991-08-04 00:00:00+00:00,0.0,01463500
28797,1991-08-05 00:00:00+00:00,0.0,01463500
28798,1991-08-06 00:00:00+00:00,0.0,01463500
28799,1991-08-07 00:00:00+00:00,0.0,01463500
28800,1991-08-08 00:00:00+00:00,0.0,01463500
28801,1991-08-09 00:00:00+00:00,0.0,01463500
28802,1991-08-10 00:00:00+00:00,0.0,01463500
28803,1991-08-11 00:00:00+00:00,0.0,01463500
28804,1991-08-12 00:00:00+00:00,0.0,01463500
28805,1991-08-13 00:00:00+00:00,0.0,01463500
28806,1991-08-14 00:00:00+00:00,0.0,01463500
28807,1991-08-15 00:00:00+00:00,0.0,01463500
28808,1991-08-16 00:00:00+00:00,0.0,01463500
28809,1991-08-17 00:00:00+00:00,0.0,01463500
28810,1991-08-18 00:00:00+00:00,0.0,01463500
28811,1991-08-19 00:00:00+00:00,0.0,01463500
28812,1991-08-20 00:00:00+00:00,0.0,01463500
28813,1991-08-21 00:00:00+00:00,0.0,01463500
28814,1991-08-22 00:00:00+00:00,0.0,01463500
28815,1991-08-23 00:00:00+00:00,0.0,01463500
28816,1991-08-24 00:00:00+00:00,0.0,01463500
28817,1991-08-25 00:00:00+00:00,0.0,01463500
28818,1991-08-26 00:00:00+00:00,0.0,01463500
28819,1991-08-27 00:00:00+00:00,0.0,01463500
28820,1991-08-28 00:00:00+00:00,0.0,01463500
28821,1991-08-29 00:00:00+00:00,0.0,01463500
28822,1991-08-30 00:00:00+00:00,0.0,01463500
28823,1991-08-31 00:00:00+00:00,0.0,01463500
28824,1991-09-01 00:00:00+00:00,0.0,01463500
28825,1991-09-02 00:00:00+00:00,0.0,01463500
28826,1991-09-03 00:00:00+00:00,0.0,01463500
28827,1991-09-04 00:00:00+00:00,0.0,01463500
28828,1991-09-05 00:00:00+00:00,0.0,01463500
28829,1991-09-06 00:00:00+00:00,0.0,01463500
28830,1991-09-07 00:00:00+00:00,0.0,01463500
28831,1991-09-08 00:00:00+00:00,0.0,01463500
28832,1991-09-09 00:00:00+00:00,0.0,01463500
28833,1991-09-10 00:00:00+00:00,0.0,01463500
28834,1991-09-11 00:00:00+00:00,0.0,01463500
28835,1991-09-12 00:00:00+00:00,0.0,01463500
28836,1991-09-13 00:00:00+00:00,0.0,01463500
28837,1991-09-14 00:00:00+00:00,0.0,01463500
28838,1991-09-15 00:00:00+00:00,0.0,01463500
28839,1991-09-16 00:00:00+00:00,0.0,01463500
28840,1991-09-17 00:00:00+00:00,0.0,01463500
28841,1991-09-18 00:00:00+00:00,0.0,01463500
28842,1991-09-19 00:00:00+00:00,0.0,01463500
28843,1991-09-20 00:00:00+00:00,0.0,01463500
28844,1991-09-21 00:00:00+00:00,0.0,01463500
28845,1991-09-22 00:00:00+00:00,0.0,01463500
28846,1991-09-23 00:00:00+00:00,0.0,01463500
